Threshold,Old Bits,New Bits,Compression Ratio,BPV,PSNR,Compressed File,Decompressed File,image_path
30,536870912,95312,5632.77,0.00568104,33.967,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_30tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_30tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_30tthresh.png
31,536870912,95312,5632.77,0.00568104,33.967,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_31tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_31tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_31tthresh.png
32,536870912,95312,5632.77,0.00568104,33.967,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_32tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_32tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_32tthresh.png
33,536870912,95312,5632.77,0.00568104,33.967,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_33tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_33tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_33tthresh.png
34,536870912,5392,99568.0,0.000321388,33.8983,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_34tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_34tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_34tthresh.png
35,536870912,30288,17725.5,0.00180531,34.7187,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_35tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_35tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_35tthresh.png
36,536870912,74192,7236.24,0.00442219,35.7224,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_36tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_36tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_36tthresh.png
37,536870912,119312,4499.72,0.00711155,36.7808,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_37tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_37tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_37tthresh.png
38,536870912,208400,2576.16,0.0124216,37.9488,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_38tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_38tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_38tthresh.png
39,536870912,275728,1947.1,0.0164347,39.0657,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_39tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_39tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_39tthresh.png
40,536870912,451280,1189.66,0.0268984,40.1535,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_40tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_40tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_40tthresh.png
41,536870912,542224,990.128,0.0323191,41.1975,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_41tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_41tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_41tthresh.png
42,536870912,671696,799.277,0.0400362,42.2603,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_42tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_42tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_42tthresh.png
43,536870912,944848,568.209,0.0563173,43.3073,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_43tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_43tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_43tthresh.png
44,536870912,1323728,405.575,0.0789003,44.3749,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_44tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_44tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_44tthresh.png
45,536870912,1215184,441.802,0.0724306,45.2518,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_45tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_45tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_45tthresh.png
46,536870912,1739024,308.72,0.103654,46.4768,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_46tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_46tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_46tthresh.png
47,536870912,2278544,235.62,0.135812,47.4849,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_47tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_47tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_47tthresh.png
48,536870912,4043152,132.785,0.240991,48.6566,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_48tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_48tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_48tthresh.png
49,536870912,2903120,184.929,0.173039,49.6845,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_49tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_49tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_49tthresh.png
50,536870912,5453072,98.4529,0.325028,50.6175,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_50tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_50tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_50tthresh.png
51,536870912,5920592,90.6786,0.352895,51.6618,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_51tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_51tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_51tthresh.png
52,536870912,6348752,84.5632,0.378415,52.902,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_52tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_52tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_52tthresh.png
53,536870912,5673104,94.6344,0.338143,53.8424,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_53tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_53tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_53tthresh.png
54,536870912,8440784,63.6044,0.50311,54.7704,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_54tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_54tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_54tthresh.png
55,536870912,9088848,59.0692,0.541738,55.8114,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_55tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_55tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_55tthresh.png
56,536870912,9790800,54.8342,0.583577,57.0893,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_56tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_56tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_56tthresh.png
57,536870912,11450448,46.8865,0.6825,58.0148,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_57tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_57tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_57tthresh.png
58,536870912,12628048,42.5142,0.75269,58.9286,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_58tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_58tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_58tthresh.png
59,536870912,13595472,39.4889,0.810353,59.9404,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_59tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_59tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_59tthresh.png
60,536870912,14567824,36.8532,0.86831,61.192,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_60tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_60tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_60tthresh.png
61,536870912,16962064,31.6513,1.01102,62.2247,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_61tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_61tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_61tthresh.png
62,536870912,16112464,33.3202,0.960378,63.1186,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_62tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_62tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_62tthresh.png
63,536870912,17591632,30.5185,1.04854,64.0791,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_63tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_63tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_63tthresh.png
64,536870912,21469712,25.006,1.27969,65.221,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_64tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_64tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_64tthresh.png
65,536870912,20254416,26.5064,1.20726,66.5058,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_65tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_65tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_65tthresh.png
66,536870912,25962320,20.6788,1.54747,67.3798,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_66tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_66tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_66tthresh.png
67,536870912,28097488,19.1074,1.67474,68.2911,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_67tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_67tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_67tthresh.png
68,536870912,27268496,19.6883,1.62533,69.3016,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_68tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_68tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_68tthresh.png
69,536870912,28984912,18.5224,1.72764,70.5674,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_69tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_69tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_69tthresh.png
