Threshold,Old Bits,New Bits,Compression Ratio,BPV,PSNR_data,SSIM,FSIM,MS-SSIM,PSNR_img,VSI,SR-SIM,MS-GMSD,MDSI,DSS,IW-SSIM,FILE_image_path
43,536870912,944848,568.209,0.0563173,43.3073,0.9680161476,0.9839484692,0.9774892926,36.48311615,0.993047595,0.9772868156,0.04458510503,0.2542541623,0.8601767421,0.8753156066,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_43tthresh.png
44,536870912,1323728,405.575,0.0789003,44.3749,0.9756615758,0.9878973961,0.9829378724,37.71156311,0.9947189689,0.9834139943,0.03696350381,0.2373414934,0.8943225741,0.9044676423,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_44tthresh.png
45,536870912,1215184,441.802,0.0724306,45.2518,0.9780402184,0.9892416596,0.9847556949,38.2613678,0.9954841733,0.9864410162,0.03280131891,0.2294857502,0.9055426121,0.9154911041,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_45tthresh.png
46,536870912,1739024,308.72,0.103654,46.4768,0.9836992621,0.9921928048,0.9887316823,39.73440552,0.996794045,0.9900435805,0.02669265307,0.2125381082,0.9303922057,0.9365215898,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_46tthresh.png
47,536870912,2278544,235.62,0.135812,47.4849,0.9877624512,0.9943104982,0.9915547967,40.95886612,0.9976555109,0.9926120639,0.02143324912,0.1952454895,0.9485818148,0.9523345828,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_47tthresh.png
48,536870912,4043152,132.785,0.240991,48.6566,0.9902108312,0.995382309,0.9931252003,42.12984085,0.9981782436,0.9945222139,0.01780362055,0.1847358942,0.9584749341,0.9613156319,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_48tthresh.png
49,536870912,2903120,184.929,0.173039,49.6845,0.9919507504,0.9963445663,0.9943382144,43.07577515,0.9985975027,0.9955958724,0.01485354267,0.1748926044,0.9659736753,0.968362391,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_49tthresh.png
50,536870912,5453072,98.4529,0.325028,50.6175,0.9941766262,0.9973365664,0.9957118034,44.54211807,0.998981595,0.9968367815,0.01222043484,0.1608535349,0.9746040106,0.9757813811,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_50tthresh.png
51,536870912,5920592,90.6786,0.352895,51.6618,0.9955652356,0.998005271,0.9966756701,45.72702789,0.9992359877,0.9976585507,0.009856603108,0.1489659548,0.980748415,0.9814994335,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_51tthresh.png
52,536870912,6348752,84.5632,0.378415,52.902,0.995718956,0.9983010292,0.9970901012,45.86038971,0.9993573427,0.9980373383,0.008202718571,0.1428762972,0.983831346,0.9844670892,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_52tthresh.png
53,536870912,5673104,94.6344,0.338143,53.8424,0.9968075752,0.9987393618,0.9977043271,47.16011429,0.9995222092,0.9985153079,0.00682844827,0.1330944151,0.9875671268,0.9877694249,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_53tthresh.png
54,536870912,8440784,63.6044,0.50311,54.7704,0.9975860715,0.9990462065,0.9981904626,48.30845261,0.9996412992,0.998898387,0.005571599584,0.1235194653,0.9902467728,0.9904658198,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_54tthresh.png
55,536870912,9088848,59.0692,0.541738,55.8114,0.9978926778,0.9992753267,0.9985775948,48.95999908,0.9997222424,0.9991493821,0.004353568424,0.1153717339,0.9925926328,0.9928203821,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_55tthresh.png
56,536870912,9790800,54.8342,0.583577,57.0893,0.9982870221,0.9994037151,0.998799026,49.87428665,0.999782145,0.9993239045,0.003596336115,0.1096643955,0.9939297438,0.9940422177,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_56tthresh.png
57,536870912,11450448,46.8865,0.6825,58.0148,0.9984807968,0.9995266199,0.9989984035,50.47966003,0.9998226166,0.9994518757,0.003045798512,0.1038339436,0.995038271,0.995170176,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_57tthresh.png
58,536870912,12628048,42.5142,0.75269,58.9286,0.9988052249,0.9996435642,0.9992060065,51.51084137,0.9998686314,0.999602735,0.00244086748,0.09609612077,0.996204257,0.9962748885,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_58tthresh.png
59,536870912,13595472,39.4889,0.810353,59.9404,0.9990652204,0.9997295737,0.999376297,52.29502106,0.9999002218,0.9996979833,0.00186611875,0.08973965049,0.9971122146,0.9972125292,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_59tthresh.png
60,536870912,14567824,36.8532,0.86831,61.192,0.9990279675,0.9997654557,0.9994574189,52.52276611,0.9999144077,0.9997398853,0.001498516765,0.08667095751,0.9975774884,0.9977058172,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_60tthresh.png
61,536870912,16962064,31.6513,1.01102,62.2247,0.9995772243,0.9998528361,0.999591887,55.04896164,0.9999477267,0.9998380542,0.001253560418,0.07710690051,0.9982624054,0.9982249737,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_61tthresh.png
62,536870912,16112464,33.3202,0.960378,63.1186,0.9994306564,0.9998626113,0.9996297956,54.28497696,0.9999487996,0.9998432398,0.001042933669,0.07586628199,0.9984684587,0.9985269308,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_62tthresh.png
63,536870912,17591632,30.5185,1.04854,64.0791,0.9992582798,0.9998660088,0.9996654391,53.757267,0.9999493957,0.9998396039,0.0008231733227,0.07576200366,0.9986071587,0.9988011718,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_63tthresh.png
64,536870912,21469712,25.006,1.27969,65.221,0.999296844,0.9998831749,0.9997115731,54.07476425,0.9999555349,0.9998543262,0.0006498182775,0.07346115261,0.9988287091,0.9990354776,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_64tthresh.png
65,536870912,20254416,26.5064,1.20726,66.5058,0.9995444417,0.999925375,0.9997784495,55.97238159,0.9999722242,0.9999146461,0.0005215413985,0.0654982999,0.999181509,0.9992624521,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_65tthresh.png
66,536870912,25962320,20.6788,1.54747,67.3798,0.9995778203,0.9999380112,0.9998076558,56.40236664,0.9999768138,0.9999285936,0.0004430036643,0.06253135204,0.9993157983,0.9993985891,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_66tthresh.png
67,536870912,28097488,19.1074,1.67474,68.2911,0.9993681908,0.9999141693,0.99978894,54.85463715,0.9999678135,0.9998873472,0.0004162584373,0.06799218059,0.9991684556,0.9994021058,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_67tthresh.png
68,536870912,27268496,19.6883,1.62533,69.3016,0.9995513558,0.9999455214,0.9998437762,56.56130981,0.9999797344,0.9999328852,0.0002981301222,0.06061743572,0.9994541407,0.9995858073,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_68tthresh.png
69,536870912,28984912,18.5224,1.72764,70.5674,0.9996417165,0.9999573231,0.9998688698,57.47066498,0.9999844432,0.9999477863,0.000241481961,0.05703332648,0.9995754957,0.9996677637,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_69tthresh.png
