Compression Ratio,PSNR_data,PSNR_img,SSIM,FSIM,MS-SSIM,VSI,SR-SIM,DSS,IW-SSIM,MDSI,MS-GMSD
7236.24,35.7224,28.69279099,0.8617164493,0.9287175536,0.8873577714,0.9640848637,0.828691721,0.4661711752,0.4904669821,0.3756588399,0.1181173027
4499.72,36.7808,29.62526321,0.8789026737,0.9414426684,0.9051403999,0.9708343148,0.8718918562,0.5256842375,0.5530560613,0.3564933538,0.1058081016
2576.16,37.9488,30.97970963,0.903804481,0.9530335665,0.9279322624,0.9772265553,0.8964674473,0.5937048793,0.6418012977,0.3363764286,0.09289634973
1947.1,39.0657,31.78498077,0.918286562,0.9603567719,0.9397664666,0.9811373949,0.9251003861,0.6567577124,0.6985417604,0.3213666975,0.08244098723
1189.66,40.1535,33.12296295,0.9353378415,0.9680900574,0.9531874657,0.9853290319,0.9360024929,0.7163712978,0.7548131943,0.3034823239,0.07210671902
990.128,41.1975,34.32224655,0.9501096606,0.9750804305,0.9644031525,0.9887086749,0.9561637044,0.7833349109,0.8096622229,0.2847003341,0.06110725552
799.277,42.2603,35.02661896,0.9573147893,0.9784303308,0.9696885943,0.9905776381,0.9644179344,0.8163022995,0.83888942,0.2733370364,0.05389128998
568.209,43.3073,36.48311615,0.9680161476,0.9839484692,0.9774892926,0.993047595,0.9772868156,0.8601767421,0.8753156066,0.2542541623,0.04458510503
405.575,44.3749,37.71156311,0.9756615758,0.9878973961,0.9829378724,0.9947189689,0.9834139943,0.8943225741,0.9044676423,0.2373414934,0.03696350381
441.802,45.2518,38.2613678,0.9780402184,0.9892416596,0.9847556949,0.9954841733,0.9864410162,0.9055426121,0.9154911041,0.2294857502,0.03280131891
308.72,46.4768,39.73440552,0.9836992621,0.9921928048,0.9887316823,0.996794045,0.9900435805,0.9303922057,0.9365215898,0.2125381082,0.02669265307
235.62,47.4849,40.95886612,0.9877624512,0.9943104982,0.9915547967,0.9976555109,0.9926120639,0.9485818148,0.9523345828,0.1952454895,0.02143324912
132.785,48.6566,42.12984085,0.9902108312,0.995382309,0.9931252003,0.9981782436,0.9945222139,0.9584749341,0.9613156319,0.1847358942,0.01780362055
184.929,49.6845,43.07577515,0.9919507504,0.9963445663,0.9943382144,0.9985975027,0.9955958724,0.9659736753,0.968362391,0.1748926044,0.01485354267
98.4529,50.6175,44.54211807,0.9941766262,0.9973365664,0.9957118034,0.998981595,0.9968367815,0.9746040106,0.9757813811,0.1608535349,0.01222043484
90.6786,51.6618,45.72702789,0.9955652356,0.998005271,0.9966756701,0.9992359877,0.9976585507,0.980748415,0.9814994335,0.1489659548,0.009856603108
84.5632,52.902,45.86038971,0.995718956,0.9983010292,0.9970901012,0.9993573427,0.9980373383,0.983831346,0.9844670892,0.1428762972,0.008202718571
94.6344,53.8424,47.16011429,0.9968075752,0.9987393618,0.9977043271,0.9995222092,0.9985153079,0.9875671268,0.9877694249,0.1330944151,0.00682844827
63.6044,54.7704,48.30845261,0.9975860715,0.9990462065,0.9981904626,0.9996412992,0.998898387,0.9902467728,0.9904658198,0.1235194653,0.005571599584
59.0692,55.8114,48.95999908,0.9978926778,0.9992753267,0.9985775948,0.9997222424,0.9991493821,0.9925926328,0.9928203821,0.1153717339,0.004353568424
54.8342,57.0893,49.87428665,0.9982870221,0.9994037151,0.998799026,0.999782145,0.9993239045,0.9939297438,0.9940422177,0.1096643955,0.003596336115
46.8865,58.0148,50.47966003,0.9984807968,0.9995266199,0.9989984035,0.9998226166,0.9994518757,0.995038271,0.995170176,0.1038339436,0.003045798512
42.5142,58.9286,51.51084137,0.9988052249,0.9996435642,0.9992060065,0.9998686314,0.999602735,0.996204257,0.9962748885,0.09609612077,0.00244086748
39.4889,59.9404,52.29502106,0.9990652204,0.9997295737,0.999376297,0.9999002218,0.9996979833,0.9971122146,0.9972125292,0.08973965049,0.00186611875
36.8532,61.192,52.52276611,0.9990279675,0.9997654557,0.9994574189,0.9999144077,0.9997398853,0.9975774884,0.9977058172,0.08667095751,0.001498516765
31.6513,62.2247,55.04896164,0.9995772243,0.9998528361,0.999591887,0.9999477267,0.9998380542,0.9982624054,0.9982249737,0.07710690051,0.001253560418
33.3202,63.1186,54.28497696,0.9994306564,0.9998626113,0.9996297956,0.9999487996,0.9998432398,0.9984684587,0.9985269308,0.07586628199,0.001042933669
30.5185,64.0791,53.757267,0.9992582798,0.9998660088,0.9996654391,0.9999493957,0.9998396039,0.9986071587,0.9988011718,0.07576200366,0.0008231733227
25.006,65.221,54.07476425,0.999296844,0.9998831749,0.9997115731,0.9999555349,0.9998543262,0.9988287091,0.9990354776,0.07346115261,0.0006498182775
26.5064,66.5058,55.97238159,0.9995444417,0.999925375,0.9997784495,0.9999722242,0.9999146461,0.999181509,0.9992624521,0.0654982999,0.0005215413985
20.6788,67.3798,56.40236664,0.9995778203,0.9999380112,0.9998076558,0.9999768138,0.9999285936,0.9993157983,0.9993985891,0.06253135204,0.0004430036643
19.1074,68.2911,54.85463715,0.9993681908,0.9999141693,0.99978894,0.9999678135,0.9998873472,0.9991684556,0.9994021058,0.06799218059,0.0004162584373
19.6883,69.3016,56.56130981,0.9995513558,0.9999455214,0.9998437762,0.9999797344,0.9999328852,0.9994541407,0.9995858073,0.06061743572,0.0002981301222
18.5224,70.5674,57.47066498,0.9996417165,0.9999573231,0.9998688698,0.9999844432,0.9999477863,0.9995754957,0.9996677637,0.05703332648,0.000241481961